id,chunk,embedding
7e34705df3ad4e64b6418317fc62800f,"CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập - Tự do - Hạnh phúc
---------o0o---------
HỢP ĐỒNG THUÊ NHÀ
- Căn cứ Bộ Luật Dân sự của Quốc Hội nước CHXHCN Việt Nam năm 2015
- Căn cứ nhu cầu và khả năng của các Bên;
Hôm nay, ngày .... tháng .... năm ......, tại ......................................, chúng tôi gồm:
BÊN CHO THUÊ: (Sau đây gọi tắt là Bên A)
Ông/Bà: ........................................ Sinh năm: ................. CMND/CCCD/Hộ chiếu số: ........................ do .................... cấp ngày .............. Hộ khẩu thường trú tại: ............................................................................................. BÊN THUÊ: (Sau đây gọi tắt là Bên B)
Ông/Bà: ........................................ Sinh năm: ................. CMND/CCCD/Hộ chiếu số: ........................ do............... cấp ngày .............. Hộ khẩu thường trú tại: .............................................................................................","[-0.00429065  0.13238327 -0.00705546 ... -0.01379784 -0.01002207
  0.00501758]"
eef923d81a8e48d4a7756b165e0eb67e,"Hộ khẩu thường trú tại: ............................................................................................. Hai Bên tự nguyện cùng nhau lập và ký Hợp đồng này để thực hiện việc cho
thuê tài sản theo các thỏa thuận sau đây:
ĐIỀU 1
DIỆN TÍCH CHO THUÊ VÀ MỤC ĐÍCH THUÊ
1.1 Bên A đồng ý cho Bên B thuê, Bên B đồng ý thuê của Bên A toàn bộ
.................................tại địa chỉ: .................................... theo............................. mang tên ông/bà ......................... (1)
Diện tích, hiện trạng quyền sử dụng đất và tài sản gắn liền với đất được mô tả cụ thể
trong Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản gắn liền với
đất nêu trên. (Sau đây gọi là “Tài sản” hoặc “Tài sản thuê”)
1.2 Mục đích thuê: (2) …………………….. ĐIỀU 2
THỜI HẠN THUÊ, GIA HẠN VÀ CHẤM DỨT HỢP ĐỒNG
2.1 Thời hạn thuê là (3) ……. (……..) năm, được tính bắt đầu từ ngày …. tháng …. năm …… đến ngày …… tháng …… năm ……….. 2.2 Bên A bàn giao quyền sử dụng đất và quyền sở hữu tài sản gắn liền với đất cho
Bên B vào ngày …… tháng …… năm ………..","[-0.00283869  0.0841907  -0.00824278 ... -0.00538295 -0.01298298
 -0.00338474]"
08b8c8b7f479446b902b55915748deba,"2.2 Bên A bàn giao quyền sử dụng đất và quyền sở hữu tài sản gắn liền với đất cho
Bên B vào ngày …… tháng …… năm ……….. 2.3 Hợp đồng này có hiệu lực thi hành kể từ ngày ký
2.4 Hợp đồng sẽ đương nhiên chấm dứt khi xảy ra các trường hợp sau:
2.5 Hết thời hạn thuê hoặc không được gia hạn thuê theo quy định của Hợp đồng;","[-0.0059655   0.09745046 -0.00763687 ... -0.00047082 -0.01661895
  0.00298753]"
50802603b2194273b0f4e0f8d4fb8200,"2.6 Nếu bên B không thanh toán tiền nhà sau 15 ngày đầu của mỗi đợt thanh toán
thì bên A có quyền chấm dứt Hợp đồng và bên B không được bồi thường bất cứ một
khoản chi phí nào. 2.7 Chấm dứt hợp đồng theo quy định của pháp luật;
2.8 Trường hợp bên A chấm dứt Hợp đồng trước thời hạn, bên A phải:
+ Thông báo cho bên B biết trước … tháng bằng văn bản. + Hoàn trả cho bên B số tiền thuê mà bên B đã trả trước cho khoảng thời gian bên B
không sử dụng nhà (nếu có)
- Trường hợp bên B chấm dứt Hợp đồng trước thời hạn, bên B phải:
+ Thông báo cho bên A biết trước … ngày bằng văn bản
+ Thanh toán các chi phí tiện ích tính đến ngày bàn giao nhà
+ Được bên A hoàn trả số tiền nhà đã trả trước mà chưa sử dụng (nếu có)
2.9 Trường hợp một trong hai bên muốn chấm dứt Hợp đồng trước thời hạn thì
Bên A được lấy lại tài sản trước thời hạn. 2.10 Việc một trong hai bên không thực hiện, thực hiện không đầy đủ hay thực hiện
chậm các nghĩa vụ của mình theo Hợp đồng này sẽ không bị coi là vi phạm các nghĩa
vụ đó hay là đối tượng để khiếu nại các nghĩa vụ đó nếu việc không thực hiện hay
chậm trễ đó do thiên tai, động đất, chiến tranh và các trường hợp bất khả kháng theo
quy định của pháp luật hiện hành.","[-1.22136427e-02  8.51124376e-02 -8.87748692e-03 ... -1.66968908e-04
 -1.75044369e-02 -8.39897839e-05]"
f00186355fb1449fa50ad6ddb3fb0c3d,"2.10 Việc một trong hai bên không thực hiện, thực hiện không đầy đủ hay thực hiện
chậm các nghĩa vụ của mình theo Hợp đồng này sẽ không bị coi là vi phạm các nghĩa
vụ đó hay là đối tượng để khiếu nại các nghĩa vụ đó nếu việc không thực hiện hay
chậm trễ đó do thiên tai, động đất, chiến tranh và các trường hợp bất khả kháng theo
quy định của pháp luật hiện hành. ĐIỀU 3
GIÁ THUÊ, ĐẶT CỌC VÀ PHƯƠNG THỨC THANH TOÁN
3.1 Giá cho thuê:
- Năm thứ nhất (từ ……….. đến …….) số tiền thuê là: ……. VNĐ/1 tháng
- Năm thứ hai (từ ……….. đến …….) số tiền thuê là: ……. VNĐ/1 tháng
- (4) …………………
Giá trên (5) …………. bao gồm tiền các loại thuế, phí theo quy định của pháp luật. 3.2 Tiền đặt cọc:
Bên B sẽ giao cho Bên A một khoản tiền là ............VNĐ (bằng
chữ:............................) ngay sau khi ký hợp đồng này. Số tiền này là tiền đặt cọc để
đảm bảm thực hiện Hợp đồng cho thuê nhà kể từ ngày hợp đồng có hiệu lực. Nếu Bên B đơn phương chấm dứt hợp đồng mà không thực hiện nghĩa vụ báo trước
tới Bên A thì Bên A sẽ không phải hoàn trả lại Bên B số tiền đặt cọc này.","[-0.0086638   0.08979762 -0.00888627 ...  0.00321768 -0.01334492
  0.00457285]"
462074b62227408f97d5c6c0148a8bc1,"Nếu Bên B đơn phương chấm dứt hợp đồng mà không thực hiện nghĩa vụ báo trước
tới Bên A thì Bên A sẽ không phải hoàn trả lại Bên B số tiền đặt cọc này. Nếu Bên A đơn phương chấm dứt hợp đồng mà không thực hiện nghĩa vụ báo trước
tới bên B thì bên A sẽ phải hoàn trả lại Bên B số tiền đặt cọc và phải bồi thường thêm
một khoản bằng chính tiền đặt cọc. Vào thời điểm kết thúc Thời Hạn Thuê hoặc kể từ ngày Chấm dứt Hợp Đồng, Bên A
sẽ hoàn lại cho Bên B số Tiền Đặt Cọc sau khi đã khấu trừ khoản tiền chi phí để khắc
phục thiệt hại (nếu có).","[-0.01241126  0.11857764 -0.0075929  ... -0.00153686 -0.01828467
  0.00664421]"
9f35df97ad844dc8bbee64d1beaf549d,"3.3 Năm thứ nhất, bên B sẽ thanh toán tiền thuê tài sản cho Bên A ….. lần trong
vòng …. (…) ngày đầu tiên của mỗi đợt thanh toán. Các lần thanh toán sau sẽ thực
hiện trước …. tháng của kỳ thuê nhà tiếp theo, mỗi lần thanh toán Bên B sẽ nhận được
một giấy biên nhận của Bên A. Việc thanh toán tiền thuê tài sản sẽ do các bên tự thực
hiện. 3.4 Phương thức thanh toán bằng (6)………………………
ĐIỀU 4
PHÍ DỊCH VỤ
4.1 Bên A sẽ không phải trả bất kỳ phí dịch vụ hay khoản thuế nào liên quan trong
quá trình kinh doanh của Bên B. 4.2 Bên B trực tiếp thanh toán các chi phí sử dụng điện năng, nước, điện thoại, fax,
internet và các dịch vụ khác theo khối lượng tiêu thụ hàng tháng với các nhà cung cấp
và giá theo quy định của Nhà Nước. 4.3 Các khoản thuế, chi phí, lệ phí tách biệt riêng không bao gồm tiền thuê. Bên B
chịu mọi chi phí, thuế liên quan đến việc kinh doanh trong quá trình thuê tài sản.","[-0.00661456  0.0610199  -0.00926756 ...  0.00371742 -0.01325289
 -0.00114675]"
f3d23e8c50364dd5a572ed86ec41b80b,"Bên B
chịu mọi chi phí, thuế liên quan đến việc kinh doanh trong quá trình thuê tài sản. ĐIỀU 5
QUYỀN VÀ NGHĨA VỤ CỦA BÊN A
5.1 Nghĩa vụ của Bên A:
- Bàn giao tài sản cho bên thuê trong tình trạng vệ sinh sạch sẽ theo đúng thỏa
thuận trong hợp đồng;
- Bảo đảm cho Bên thuê sử dụng ổn định tài sản trong thời hạn thuê;
- Tạo điều kiện để cho Bên B hoạt động kinh doanh được thuận lợi như : Điện,
nước theo quy định của pháp luật; Có trách nhiệm đăng ký sổ tạm trú cho bên B tại
công an địa phương. Trước khi sổ tạm trú hết hạn, bên A phải có trách nhiệm gia hạn
sổ tạm trú cho bên B khi bên B cung cấp đầy đủ các giấy tờ tùy thân. 5.2 Quyền của Bên A:
- Nhận đủ tiền thuê tài sản theo đúng kỳ hạn đã thỏa thuận;
- Cải tạo, sửa chữa, nâng cấp tài sản thuê khi được Bên B đồng ý;
ĐIỀU 6
QUYỀN VÀ NGHĨA VỤ CỦA BÊN B
6.1 Nghĩa vụ của Bên B:
- Sử dụng tài sản đúng mục đích đã thỏa thuận;
- Trả đủ tiền thuê tài sản đúng kỳ hạn đã thỏa thuận;
- Giữ gìn, sửa chữa những hư hỏng do mình gây ra;
- Tôn trọng quy tắc sinh hoạt công cộng;
- Trả tài sản cho bên A theo đúng thỏa thuận;","[-0.00571681  0.0558836  -0.00783385 ... -0.00313504 -0.01149384
 -0.00865957]"
2acd7116e8ce4833af39779b4f22ad3e,"- Phải tự bảo quản tài sản của mình, bảo vệ tài sản chung, giữ gìn vệ sinh chung,
an ninh trật tự chung, có trách nhiệm trong công tác phòng cháy chữa cháy;
- Không được tự ý thay đổi, sửa chữa hiện trạng ban đầu của tài sản thuê nếu
không được sự đồng ý của Bên A;
- Nếu gây ra những hư hỏng do lỗi chủ quan của Bên B thì Bên B phải chịu trách
nhiệm bồi thường thiệt hại theo giá thị trường;
- Không được sử dụng tài sản thuê để kinh doanh trái phép, tàng trữ và sử dụng
các mặt hàng cấm mà pháp luật quy định. 6.2 Quyền của Bên B:
- Nhận tài sản thuê theo đúng thỏa thuận. ĐIỀU 7
GIẢI QUYẾT TRANH CHẤP
Trong quá trình thực hiện Hợp đồng này, nếu phát sinh tranh chấp, các bên cùng nhau
thương lượng giải quyết trên nguyên tắc tôn trọng quyền lợi của nhau; trong trường
hợp không thương lượng được thì một trong hai bên có quyền khởi kiện để yêu cầu
toà án có thẩm quyền giải quyết theo quy định của pháp luật
ĐIỀU 8
CÁC ĐIỀU KHOẢN CHUNG
8.1 Hợp đồng này thay thế cho toàn bộ các thỏa thuận miệng, hoặc bằng văn bản trước
đó được ký kết giữa hai Bên liên quan đến nội dung Hợp đồng.","[-0.00230233  0.06515071 -0.00714674 ... -0.00894813 -0.01747509
  0.00089473]"
32add0f4118a4de4b0bd41f2782108ab,"ĐIỀU 7
GIẢI QUYẾT TRANH CHẤP
Trong quá trình thực hiện Hợp đồng này, nếu phát sinh tranh chấp, các bên cùng nhau
thương lượng giải quyết trên nguyên tắc tôn trọng quyền lợi của nhau; trong trường
hợp không thương lượng được thì một trong hai bên có quyền khởi kiện để yêu cầu
toà án có thẩm quyền giải quyết theo quy định của pháp luật
ĐIỀU 8
CÁC ĐIỀU KHOẢN CHUNG
8.1 Hợp đồng này thay thế cho toàn bộ các thỏa thuận miệng, hoặc bằng văn bản trước
đó được ký kết giữa hai Bên liên quan đến nội dung Hợp đồng. 8.2 Mọi sửa đổi hoặc bổ sung Hợp đồng này phải được lập thành văn bản và được ký
bởi đại diện của các Bên tham gia Hợp đồng. 8.3 Hiệu lực của từng điều khoản của Hợp đồng mang tính độc lập. Việc một vài điều
khoản vô hiệu không làm ảnh hưởng đến hiệu lực của các điều khoản còn lại của Hợp
đồng trừ trường hợp pháp luật có quy định khác.","[-0.00992874  0.07522865 -0.00797473 ... -0.00279307 -0.02141983
  0.00202242]"
293d84a523b04cf2957ad68e6cf6d72b,"Việc một vài điều
khoản vô hiệu không làm ảnh hưởng đến hiệu lực của các điều khoản còn lại của Hợp
đồng trừ trường hợp pháp luật có quy định khác. BÊN CHO THUÊ TÀI SẢN (Bên A) BÊN THUÊ TÀI SẢN (Bên B)
(Ký/ điểm chỉ, ghi rõ họ tên) (Ký/ điểm chỉ, ghi rõ họ tên)
Chú thích:
(1) Ghi theo Giấy chứng nhận quyền sử dụng đất
(2) Ghi rõ mục đích thuê: để ở, để kinh doanh…
(3) Ghi rõ số và chữ
(4) Thời gian thuê bao nhiêu năm thì liệt kê giá thuê cụ thể của những năm đó
(5) Giá thuê đã bao gồm hoặc chưa bao gồm các khoản sau đó
(6) Ghi rõ phương thức thanh toán: chuyển khoản hoặc tiền mặt","[-0.00803069  0.07869902 -0.00894822 ... -0.00541071 -0.0179834
  0.00013998]"
